"visitType","trapFunctioning","fishProcessed","rpmRevolutionsAtStart","rpmRevolutionsAtEnd","counterAtStart","counterAtEnd","visitTime","siteName","subSiteName","trapVisitID","includeCatch","projectDescriptionID","discharge","waterVel","waterTemp","turbidity"
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-01-27 12:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"end trapping","not recorded","not recorded",NA,NA,NA,NA,1996-01-27 10:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-01-30 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.7,NA,NA,NA,1996-01-30 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,NA,NA,NA,1996-02-01 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-01 09:45:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-02 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-02 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-15 10:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"start trapping","not recorded","not recorded",0,NA,NA,NA,1996-02-15 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-16 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-16 10:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-17 10:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-17 10:20:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.9,NA,NA,NA,1996-02-18 10:15:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-02-18 11:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-15 07:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-15 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3,3,NA,NA,1996-03-16 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-16 09:00:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"end trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-16 07:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.8,5.8,NA,NA,1996-03-17 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.4,5.4,NA,NA,1996-03-18 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-19 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6.1,6.1,NA,NA,1996-03-19 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-20 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.8,5.8,NA,NA,1996-03-20 08:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-21 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.7,5.7,NA,NA,1996-03-21 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.9,5.9,NA,NA,1996-03-22 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-22 10:15:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6.1,6.1,NA,NA,1996-03-23 09:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-23 10:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6,6,NA,NA,1996-03-24 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6.2,6.2,NA,NA,1996-03-25 08:15:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.8,5.8,NA,NA,1996-03-26 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-27 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6.1,6.1,NA,NA,1996-03-27 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-28 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6,6,NA,NA,1996-03-28 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6,6,NA,NA,1996-03-29 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6.2,6.2,NA,NA,1996-03-30 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-30 09:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6,6,NA,NA,1996-03-31 09:15:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-03-31 10:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.8,5.8,NA,NA,1996-04-01 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6.2,0,NA,NA,1996-04-02 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-02 09:20:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-03 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.7,5.7,NA,NA,1996-04-04 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-04 08:50:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-05 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-06 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-06 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.7,5.7,NA,NA,1996-04-07 07:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-08 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.9,5.9,NA,NA,1996-04-08 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-09 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-09 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-10 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.8,5.8,NA,NA,1996-04-10 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-11 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.7,5.7,NA,NA,1996-04-11 08:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.7,7.7,NA,NA,1996-04-12 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.6,7.6,NA,NA,1996-04-13 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.5,7.5,NA,NA,1996-04-14 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.4,7.4,NA,NA,1996-04-15 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-16 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.7,7.7,NA,NA,1996-04-16 08:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-17 08:15:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.8,7.8,NA,NA,1996-04-17 08:45:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",8.2,8.2,NA,NA,1996-04-18 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-18 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.8,NA,NA,NA,1996-04-19 08:20:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.8,7.8,NA,NA,1996-04-19 08:21:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.8,7.8,NA,NA,1996-04-20 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",8,8,NA,NA,1996-04-21 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-21 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.7,7.7,NA,NA,1996-04-22 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.9,7.9,NA,NA,1996-04-23 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",8,8,NA,NA,1996-04-24 08:40:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",8.1,8.1,NA,NA,1996-04-25 10:15:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-26 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-26 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-27 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",7.8,7.8,NA,NA,1996-04-27 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-28 10:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-29 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-04-29 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,2,NA,NA,1996-10-24 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-10-24 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.9,2.9,NA,NA,1996-10-26 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.5,2.5,NA,NA,1996-10-27 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.5,3.5,NA,NA,1996-10-29 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,0,NA,NA,1996-10-30 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.6,NA,NA,NA,1996-11-18 07:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-11-18 07:30:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-11-20 07:30:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-11-20 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.8,1.8,NA,NA,1996-11-21 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.4,1.4,NA,NA,1996-11-22 07:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0.3,1.8,NA,NA,1996-11-23 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-11-23 08:30:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.2,1.2,NA,NA,1996-11-24 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-11-24 09:15:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.6,1.6,NA,NA,1996-11-25 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-02 08:30:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.6,1.6,NA,NA,1996-12-02 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-03 08:00:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.5,1.5,NA,NA,1996-12-03 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-08 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.5,1.5,NA,NA,1996-12-08 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-09 08:15:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.5,2.5,NA,NA,1996-12-09 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-10 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-21 08:45:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",6.9,4.5,NA,NA,1996-12-21 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-22 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.1,4.1,NA,NA,1996-12-22 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-23 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.1,4.1,NA,NA,1996-12-23 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-24 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.5,4.5,NA,NA,1996-12-24 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-25 10:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.6,36,NA,NA,1996-12-25 10:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-26 09:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.9,3.9,NA,NA,1996-12-26 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-12-27 08:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,0,NA,NA,1996-12-27 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4,4,NA,NA,1997-01-18 09:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2,3.4,NA,NA,1997-03-05 09:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3,3.6,NA,NA,1997-03-11 07:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.6,NA,NA,NA,1997-03-12 09:15:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.5,NA,NA,NA,1997-03-15 09:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,NA,NA,NA,1997-03-16 09:30:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.2,NA,NA,NA,1997-04-01 10:30:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,NA,NA,NA,1997-04-04 08:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3,3,NA,NA,1997-04-06 08:30:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.4,2.4,NA,NA,1997-04-08 07:40:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,3.3,NA,NA,1997-04-13 08:45:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,3.4,NA,NA,1997-04-14 11:20:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,NA,NA,NA,1997-04-15 08:30:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,3.3,NA,NA,1997-04-16 11:50:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.4,0,NA,NA,1997-04-17 09:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.1,3.1,NA,NA,1997-04-28 09:30:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.3,3.3,NA,NA,1997-04-29 09:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.6,2.6,NA,NA,1997-05-09 10:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",1.7,1.8,NA,NA,1997-06-18 11:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,3,NA,NA,1997-11-30 07:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1997-11-30 08:50:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",2.1,2.1,NA,NA,1997-12-01 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1997-12-01 09:15:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",5.4,5.4,NA,NA,1998-03-03 09:45:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.8,4.8,NA,NA,1998-03-04 09:30:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",0,5.2,NA,NA,1998-03-05 09:00:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",4.8,4.8,NA,NA,1998-03-06 09:30:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1998-03-06 11:00:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.65714285714286,3.65714285714286,NA,NA,1998-03-07 09:45:00,"adams dam","adams dam",NA,"Yes",NA,NA,NA,NA,NA
